==========================================================
     YouTube 专用优选网速排名（第一行最适合看视频）
==========================================================

NO.1 | 流媒体网速: 28.41 MB/s | IP地址: 167.148.203.71:443 | 地区: HK
NO.2508 | 流媒体网速: 5.58 MB/s | IP地址: 151.245.112.24:443 | 地区: PL
NO.2509 | 流媒体网速: 5.58 MB/s | IP地址: 165.232.89.58:443 | 地区: NL
NO.2510 | 流媒体网速: 5.57 MB/s | IP地址: 46.101.52.219:443 | 地区: GB
NO.2511 | 流媒体网速: 5.57 MB/s | IP地址: 46.101.178.246:2053 | 地区: DE
NO.2512 | 流媒体网速: 5.57 MB/s | IP地址: 45.76.158.201:8443 | 地区: SG
NO.2513 | 流媒体网速: 5.57 MB/s | IP地址: 185.236.20.72:8443 | 地区: NL
NO.2514 | 流媒体网速: 5.57 MB/s | IP地址: 178.62.228.15:2053 | 地区: NL
NO.2515 | 流媒体网速: 5.57 MB/s | IP地址: 161.35.175.73:2096 | 地区: GB
NO.2516 | 流媒体网速: 5.57 MB/s | IP地址: 147.90.89.9:443 | 地区: NL
NO.2517 | 流媒体网速: 5.57 MB/s | IP地址: 46.101.206.23:2087 | 地区: DE
NO.2518 | 流媒体网速: 5.57 MB/s | IP地址: 45.9.74.189:8443 | 地区: FI
NO.2519 | 流媒体网速: 5.56 MB/s | IP地址: 141.98.190.45:443 | 地区: RU
NO.2520 | 流媒体网速: 5.56 MB/s | IP地址: 144.124.244.223:2053 | 地区: NL
NO.2521 | 流媒体网速: 5.56 MB/s | IP地址: 178.128.203.165:443 | 地区: DE
NO.2522 | 流媒体网速: 5.56 MB/s | IP地址: 46.101.178.246:2087 | 地区: DE
NO.2523 | 流媒体网速: 5.56 MB/s | IP地址: 46.101.174.78:2083 | 地区: DE
NO.2524 | 流媒体网速: 5.56 MB/s | IP地址: 159.223.27.68:443 | 地区: DE
NO.2525 | 流媒体网速: 5.56 MB/s | IP地址: 143.20.160.38:443 | 地区: DE
NO.2526 | 流媒体网速: 5.56 MB/s | IP地址: 164.90.216.191:443 | 地区: DE
NO.2527 | 流媒体网速: 5.56 MB/s | IP地址: 167.233.36.169:443 | 地区: DE
NO.2528 | 流媒体网速: 5.55 MB/s | IP地址: 159.65.198.52:8443 | 地区: NL
NO.2529 | 流媒体网速: 5.55 MB/s | IP地址: 165.227.151.132:443 | 地区: DE
NO.2530 | 流媒体网速: 5.55 MB/s | IP地址: 166.88.33.157:443 | 地区: US
NO.2531 | 流媒体网速: 5.55 MB/s | IP地址: 142.93.102.20:443 | 地区: DE
NO.2532 | 流媒体网速: 5.55 MB/s | IP地址: 164.90.203.117:8443 | 地区: NL
NO.2533 | 流媒体网速: 5.55 MB/s | IP地址: 45.43.78.153:443 | 地区: LV
NO.2534 | 流媒体网速: 5.55 MB/s | IP地址: 147.45.170.176:443 | 地区: NL
NO.2535 | 流媒体网速: 5.55 MB/s | IP地址: 176.124.221.116:443 | 地区: DE
NO.2536 | 流媒体网速: 5.55 MB/s | IP地址: 161.35.64.81:2053 | 地区: DE
NO.2537 | 流媒体网速: 5.55 MB/s | IP地址: 146.185.157.184:443 | 地区: NL
NO.2538 | 流媒体网速: 5.55 MB/s | IP地址: 139.100.226.187:8443 | 地区: RU
NO.2539 | 流媒体网速: 5.55 MB/s | IP地址: 147.90.89.130:443 | 地区: NL
NO.2540 | 流媒体网速: 5.55 MB/s | IP地址: 159.89.107.10:443 | 地区: DE
NO.2541 | 流媒体网速: 5.54 MB/s | IP地址: 46.101.103.15:443 | 地区: DE
NO.2542 | 流媒体网速: 5.54 MB/s | IP地址: 159.65.125.162:2083 | 地区: DE
NO.2543 | 流媒体网速: 5.54 MB/s | IP地址: 146.185.174.59:443 | 地区: NL
NO.2544 | 流媒体网速: 5.54 MB/s | IP地址: 161.35.73.222:8443 | 地区: DE
NO.2545 | 流媒体网速: 5.54 MB/s | IP地址: 157.230.101.36:443 | 地区: DE
NO.2546 | 流媒体网速: 5.54 MB/s | IP地址: 140.245.103.72:443 | 地区: SG
NO.2547 | 流媒体网速: 5.54 MB/s | IP地址: 165.227.142.68:8443 | 地区: DE
NO.2548 | 流媒体网速: 5.54 MB/s | IP地址: 146.185.168.165:443 | 地区: NL
NO.2549 | 流媒体网速: 5.54 MB/s | IP地址: 179.255.185.130:443 | 地区: US
NO.2550 | 流媒体网速: 5.54 MB/s | IP地址: 45.65.9.36:443 | 地区: US
NO.2551 | 流媒体网速: 5.54 MB/s | IP地址: 38.54.116.31:2053 | 地区: OM
NO.2552 | 流媒体网速: 5.54 MB/s | IP地址: 165.22.74.162:2053 | 地区: DE
NO.2553 | 流媒体网速: 5.54 MB/s | IP地址: 138.2.59.112:443 | 地区: JP
NO.2554 | 流媒体网速: 5.54 MB/s | IP地址: 151.243.196.148:8443 | 地区: PL
NO.2555 | 流媒体网速: 5.54 MB/s | IP地址: 130.17.20.158:443 | 地区: DE
NO.2556 | 流媒体网速: 5.54 MB/s | IP地址: 176.124.199.232:443 | 地区: NL
NO.2557 | 流媒体网速: 5.54 MB/s | IP地址: 45.153.184.95:443 | 地区: NL
NO.2558 | 流媒体网速: 5.53 MB/s | IP地址: 167.99.214.123:2087 | 地区: NL
NO.2559 | 流媒体网速: 5.53 MB/s | IP地址: 159.65.82.25:2053 | 地区: GB
NO.2560 | 流媒体网速: 5.53 MB/s | IP地址: 167.99.247.93:443 | 地区: DE
NO.2561 | 流媒体网速: 5.53 MB/s | IP地址: 164.92.239.67:443 | 地区: DE
NO.2562 | 流媒体网速: 5.53 MB/s | IP地址: 179.255.185.127:443 | 地区: US
NO.2563 | 流媒体网速: 5.53 MB/s | IP地址: 165.227.142.68:2096 | 地区: DE
NO.2564 | 流媒体网速: 5.53 MB/s | IP地址: 46.101.81.245:8443 | 地区: GB
NO.2565 | 流媒体网速: 5.53 MB/s | IP地址: 164.90.168.210:443 | 地区: DE
NO.2566 | 流媒体网速: 5.52 MB/s | IP地址: 141.164.49.98:443 | 地区: KR
NO.2567 | 流媒体网速: 5.52 MB/s | IP地址: 162.248.164.35:2083 | 地区: DE
NO.2568 | 流媒体网速: 5.52 MB/s | IP地址: 165.232.39.212:443 | 地区: GB
NO.2569 | 流媒体网速: 5.52 MB/s | IP地址: 185.137.223.71:443 | 地区: GB
NO.2570 | 流媒体网速: 5.52 MB/s | IP地址: 178.62.225.120:2053 | 地区: NL
NO.2571 | 流媒体网速: 5.52 MB/s | IP地址: 161.35.64.81:2083 | 地区: DE
NO.2572 | 流媒体网速: 5.52 MB/s | IP地址: 31.59.121.155:2053 | 地区: FR
NO.2573 | 流媒体网速: 5.52 MB/s | IP地址: 46.101.204.30:443 | 地区: DE
NO.2574 | 流媒体网速: 5.51 MB/s | IP地址: 165.232.90.225:2096 | 地区: NL
NO.2575 | 流媒体网速: 5.51 MB/s | IP地址: 46.8.225.191:443 | 地区: FR
NO.2576 | 流媒体网速: 5.51 MB/s | IP地址: 46.101.155.181:443 | 地区: DE
NO.2577 | 流媒体网速: 5.51 MB/s | IP地址: 45.38.139.214:8443 | 地区: LV
NO.2578 | 流媒体网速: 5.51 MB/s | IP地址: 165.22.74.162:443 | 地区: DE
NO.2579 | 流媒体网速: 5.51 MB/s | IP地址: 159.65.125.162:8443 | 地区: DE
NO.2580 | 流媒体网速: 5.51 MB/s | IP地址: 178.17.49.228:443 | 地区: DE
NO.2581 | 流媒体网速: 5.51 MB/s | IP地址: 45.9.117.237:443 | 地区: NL
NO.2582 | 流媒体网速: 5.51 MB/s | IP地址: 146.185.177.66:443 | 地区: NL
NO.2583 | 流媒体网速: 5.50 MB/s | IP地址: 46.101.72.218:443 | 地区: GB
NO.2584 | 流媒体网速: 5.50 MB/s | IP地址: 165.227.239.242:443 | 地区: GB
NO.2585 | 流媒体网速: 5.50 MB/s | IP地址: 185.180.109.198:443 | 地区: NL
NO.2586 | 流媒体网速: 5.50 MB/s | IP地址: 138.124.79.224:443 | 地区: NL
NO.2587 | 流媒体网速: 5.50 MB/s | IP地址: 132.243.23.180:8443 | 地区: FI
NO.2588 | 流媒体网速: 5.50 MB/s | IP地址: 167.71.9.166:2083 | 地区: NL
NO.2589 | 流媒体网速: 5.50 MB/s | IP地址: 164.90.192.188:2087 | 地区: NL
NO.2590 | 流媒体网速: 5.50 MB/s | IP地址: 46.101.156.111:8443 | 地区: DE
NO.2591 | 流媒体网速: 5.50 MB/s | IP地址: 185.183.181.79:443 | 地区: DE
NO.2592 | 流媒体网速: 5.50 MB/s | IP地址: 159.223.27.68:8443 | 地区: DE
NO.2593 | 流媒体网速: 5.49 MB/s | IP地址: 50.7.21.174:443 | 地区: SG
NO.2594 | 流媒体网速: 5.49 MB/s | IP地址: 159.65.206.68:2083 | 地区: NL
NO.2595 | 流媒体网速: 5.49 MB/s | IP地址: 130.17.27.199:443 | 地区: DE
NO.2596 | 流媒体网速: 5.49 MB/s | IP地址: 172.86.110.90:443 | 地区: US
NO.2597 | 流媒体网速: 5.49 MB/s | IP地址: 161.35.221.176:443 | 地区: DE
NO.2598 | 流媒体网速: 5.49 MB/s | IP地址: 147.90.89.2:443 | 地区: NL
NO.2599 | 流媒体网速: 5.48 MB/s | IP地址: 165.232.90.225:8443 | 地区: NL
NO.2600 | 流媒体网速: 5.48 MB/s | IP地址: 31.59.120.198:443 | 地区: FR
NO.2601 | 流媒体网速: 5.48 MB/s | IP地址: 107.161.160.91:443 | 地区: FR
NO.2602 | 流媒体网速: 5.48 MB/s | IP地址: 185.202.207.30:443 | 地区: FI
NO.2603 | 流媒体网速: 5.48 MB/s | IP地址: 167.99.131.232:2083 | 地区: DE
NO.2604 | 流媒体网速: 5.48 MB/s | IP地址: 5.187.0.166:8443 | 地区: DE
NO.2605 | 流媒体网速: 5.48 MB/s | IP地址: 104.194.140.26:443 | 地区: GB
NO.2606 | 流媒体网速: 5.48 MB/s | IP地址: 46.101.81.78:2096 | 地区: GB
NO.2607 | 流媒体网速: 5.48 MB/s | IP地址: 146.185.162.149:443 | 地区: NL
NO.2608 | 流媒体网速: 5.48 MB/s | IP地址: 159.223.224.122:8443 | 地区: NL
NO.2609 | 流媒体网速: 5.47 MB/s | IP地址: 167.99.214.123:2083 | 地区: NL
NO.2610 | 流媒体网速: 5.47 MB/s | IP地址: 147.45.174.84:2053 | 地区: NL
NO.2611 | 流媒体网速: 5.47 MB/s | IP地址: 167.71.75.9:443 | 地区: NL
NO.2612 | 流媒体网速: 5.47 MB/s | IP地址: 144.31.116.46:8443 | 地区: DE
NO.2613 | 流媒体网速: 5.47 MB/s | IP地址: 107.189.26.160:443 | 地区: NL
NO.2614 | 流媒体网速: 5.47 MB/s | IP地址: 164.92.137.46:2087 | 地区: DE
NO.2615 | 流媒体网速: 5.47 MB/s | IP地址: 45.144.234.170:8443 | 地区: FI
NO.2616 | 流媒体网速: 5.47 MB/s | IP地址: 157.230.107.183:443 | 地区: DE
NO.2617 | 流媒体网速: 5.47 MB/s | IP地址: 164.90.230.124:443 | 地区: DE
NO.2618 | 流媒体网速: 5.47 MB/s | IP地址: 155.117.127.58:8443 | 地区: DE
NO.2619 | 流媒体网速: 5.47 MB/s | IP地址: 43.170.78.62:443 | 地区: US
NO.2620 | 流媒体网速: 5.47 MB/s | IP地址: 179.255.185.131:443 | 地区: US
NO.2621 | 流媒体网速: 5.46 MB/s | IP地址: 150.241.66.199:443 | 地区: DE
NO.2622 | 流媒体网速: 5.46 MB/s | IP地址: 167.172.189.43:2053 | 地区: DE
NO.2623 | 流媒体网速: 5.46 MB/s | IP地址: 136.244.94.142:443 | 地区: DE
NO.2624 | 流媒体网速: 5.46 MB/s | IP地址: 161.35.213.151:2083 | 地区: DE
NO.2625 | 流媒体网速: 5.46 MB/s | IP地址: 161.35.155.59:2053 | 地区: NL
NO.2626 | 流媒体网速: 5.45 MB/s | IP地址: 45.32.31.218:443 | 地区: JP
NO.2627 | 流媒体网速: 5.45 MB/s | IP地址: 185.126.64.101:443 | 地区: PL
NO.2628 | 流媒体网速: 5.45 MB/s | IP地址: 103.80.86.172:8443 | 地区: NL
NO.2629 | 流媒体网速: 5.45 MB/s | IP地址: 161.35.64.81:2096 | 地区: DE
NO.2630 | 流媒体网速: 5.44 MB/s | IP地址: 146.185.182.65:443 | 地区: NL
NO.2631 | 流媒体网速: 5.44 MB/s | IP地址: 161.35.154.135:443 | 地区: NL
NO.2632 | 流媒体网速: 5.44 MB/s | IP地址: 31.77.162.143:2083 | 地区: NL
NO.2633 | 流媒体网速: 5.44 MB/s | IP地址: 159.89.29.231:443 | 地区: DE
NO.2634 | 流媒体网速: 5.44 MB/s | IP地址: 159.203.34.9:443 | 地区: US
NO.2635 | 流媒体网速: 5.44 MB/s | IP地址: 158.173.195.222:443 | 地区: NL
NO.2636 | 流媒体网速: 5.44 MB/s | IP地址: 46.101.246.237:2083 | 地区: DE
NO.2637 | 流媒体网速: 5.44 MB/s | IP地址: 185.237.15.31:443 | 地区: DE
NO.2638 | 流媒体网速: 5.44 MB/s | IP地址: 150.241.80.129:443 | 地区: NL
NO.2639 | 流媒体网速: 5.43 MB/s | IP地址: 144.31.170.30:443 | 地区: FI
NO.2640 | 流媒体网速: 5.43 MB/s | IP地址: 154.64.236.185:443 | 地区: US
NO.2641 | 流媒体网速: 5.42 MB/s | IP地址: 179.255.185.119:443 | 地区: US
NO.2642 | 流媒体网速: 5.42 MB/s | IP地址: 130.17.10.20:443 | 地区: DE
NO.2643 | 流媒体网速: 5.42 MB/s | IP地址: 109.238.95.54:443 | 地区: CZ
NO.2644 | 流媒体网速: 5.42 MB/s | IP地址: 165.22.115.179:443 | 地区: GB
NO.2645 | 流媒体网速: 5.42 MB/s | IP地址: 35.83.67.205:443 | 地区: US
NO.2646 | 流媒体网速: 5.42 MB/s | IP地址: 161.35.46.34:443 | 地区: GB
NO.2647 | 流媒体网速: 5.42 MB/s | IP地址: 185.230.67.133:443 | 地区: NL
NO.2648 | 流媒体网速: 5.42 MB/s | IP地址: 13.140.178.234:443 | 地区: FR
NO.2649 | 流媒体网速: 5.41 MB/s | IP地址: 185.245.34.118:8443 | 地区: US
NO.2650 | 流媒体网速: 5.41 MB/s | IP地址: 145.63.136.194:8443 | 地区: US
NO.2651 | 流媒体网速: 5.41 MB/s | IP地址: 164.90.191.58:2083 | 地区: DE
NO.2652 | 流媒体网速: 5.41 MB/s | IP地址: 167.172.48.224:8443 | 地区: GB
NO.2653 | 流媒体网速: 5.41 MB/s | IP地址: 167.233.240.187:443 | 地区: DE
NO.2654 | 流媒体网速: 5.41 MB/s | IP地址: 159.65.207.237:443 | 地区: NL
NO.2655 | 流媒体网速: 5.40 MB/s | IP地址: 165.232.122.206:2083 | 地区: DE
NO.2656 | 流媒体网速: 5.40 MB/s | IP地址: 178.62.222.5:8443 | 地区: NL
NO.2657 | 流媒体网速: 5.40 MB/s | IP地址: 146.190.30.27:8443 | 地区: NL
NO.2658 | 流媒体网速: 5.40 MB/s | IP地址: 178.104.227.118:443 | 地区: DE
NO.2659 | 流媒体网速: 5.39 MB/s | IP地址: 159.223.224.134:443 | 地区: NL
NO.2660 | 流媒体网速: 5.39 MB/s | IP地址: 141.147.152.9:443 | 地区: JP
NO.2661 | 流媒体网速: 5.39 MB/s | IP地址: 164.90.176.31:2053 | 地区: DE
NO.2662 | 流媒体网速: 5.39 MB/s | IP地址: 156.236.76.116:443 | 地区: US
NO.2663 | 流媒体网速: 5.39 MB/s | IP地址: 161.35.89.53:443 | 地区: NL
NO.2664 | 流媒体网速: 5.39 MB/s | IP地址: 146.185.160.185:2096 | 地区: NL
NO.2665 | 流媒体网速: 5.39 MB/s | IP地址: 176.124.221.157:443 | 地区: DE
NO.2666 | 流媒体网速: 5.39 MB/s | IP地址: 45.95.174.226:8443 | 地区: FR
NO.2667 | 流媒体网速: 5.39 MB/s | IP地址: 185.122.185.94:8443 | 地区: EE
NO.2668 | 流媒体网速: 5.39 MB/s | IP地址: 151.241.88.6:443 | 地区: US
NO.2669 | 流媒体网速: 5.38 MB/s | IP地址: 146.185.171.33:443 | 地区: NL
NO.2670 | 流媒体网速: 5.38 MB/s | IP地址: 138.124.38.41:8443 | 地区: DE
NO.2671 | 流媒体网速: 5.38 MB/s | IP地址: 159.223.224.122:443 | 地区: NL
NO.2672 | 流媒体网速: 5.38 MB/s | IP地址: 46.101.229.149:443 | 地区: DE
NO.2673 | 流媒体网速: 5.38 MB/s | IP地址: 103.196.20.33:443 | 地区: US
NO.2674 | 流媒体网速: 5.38 MB/s | IP地址: 46.101.254.53:2053 | 地区: DE
NO.2675 | 流媒体网速: 5.38 MB/s | IP地址: 146.190.236.243:8443 | 地区: NL
NO.2676 | 流媒体网速: 5.37 MB/s | IP地址: 130.17.17.181:8443 | 地区: DE
NO.2677 | 流媒体网速: 5.37 MB/s | IP地址: 109.206.241.16:443 | 地区: EE
NO.2678 | 流媒体网速: 5.37 MB/s | IP地址: 185.250.37.47:443 | 地区: FR
NO.2679 | 流媒体网速: 5.37 MB/s | IP地址: 107.189.21.187:443 | 地区: NL
NO.2680 | 流媒体网速: 5.37 MB/s | IP地址: 185.22.175.9:443 | 地区: LV
NO.2681 | 流媒体网速: 5.37 MB/s | IP地址: 157.245.46.237:2053 | 地区: GB
NO.2682 | 流媒体网速: 5.37 MB/s | IP地址: 46.101.81.245:2083 | 地区: GB
NO.2683 | 流媒体网速: 5.37 MB/s | IP地址: 167.71.12.228:2087 | 地区: NL
NO.2684 | 流媒体网速: 5.37 MB/s | IP地址: 107.189.25.144:8443 | 地区: NL
NO.2685 | 流媒体网速: 5.36 MB/s | IP地址: 185.72.10.59:443 | 地区: CZ
NO.2686 | 流媒体网速: 5.36 MB/s | IP地址: 164.92.177.103:2096 | 地区: DE
NO.2687 | 流媒体网速: 5.36 MB/s | IP地址: 178.214.214.56:443 | 地区: JP
NO.2688 | 流媒体网速: 5.36 MB/s | IP地址: 185.242.113.75:443 | 地区: DE
NO.2689 | 流媒体网速: 5.36 MB/s | IP地址: 155.103.71.207:443 | 地区: TR
NO.2690 | 流媒体网速: 5.35 MB/s | IP地址: 159.223.225.157:2087 | 地区: NL
NO.2691 | 流媒体网速: 5.35 MB/s | IP地址: 159.253.21.82:443 | 地区: EE
NO.2692 | 流媒体网速: 5.35 MB/s | IP地址: 185.73.115.121:443 | 地区: NL
NO.2693 | 流媒体网速: 5.35 MB/s | IP地址: 157.230.98.152:443 | 地区: DE
NO.2694 | 流媒体网速: 5.34 MB/s | IP地址: 148.253.208.19:443 | 地区: DE
NO.2695 | 流媒体网速: 5.34 MB/s | IP地址: 153.92.127.26:443 | 地区: NL
NO.2696 | 流媒体网速: 5.34 MB/s | IP地址: 152.70.108.9:443 | 地区: JP
NO.2697 | 流媒体网速: 5.34 MB/s | IP地址: 141.11.138.102:443 | 地区: JP
NO.2698 | 流媒体网速: 5.34 MB/s | IP地址: 150.251.113.76:8443 | 地区: PL
NO.2699 | 流媒体网速: 5.34 MB/s | IP地址: 157.245.203.240:443 | 地区: SG
NO.2700 | 流媒体网速: 5.34 MB/s | IP地址: 157.230.254.79:443 | 地区: SG
NO.2701 | 流媒体网速: 5.33 MB/s | IP地址: 148.253.209.114:2096 | 地区: DE
NO.2702 | 流媒体网速: 5.33 MB/s | IP地址: 144.31.203.40:443 | 地区: NL
NO.2703 | 流媒体网速: 5.33 MB/s | IP地址: 109.122.201.22:443 | 地区: SE
NO.2704 | 流媒体网速: 5.33 MB/s | IP地址: 104.249.40.225:443 | 地区: NL
NO.2705 | 流媒体网速: 5.33 MB/s | IP地址: 179.255.185.121:443 | 地区: US
NO.2706 | 流媒体网速: 5.33 MB/s | IP地址: 158.51.124.62:443 | 地区: US
NO.2707 | 流媒体网速: 5.33 MB/s | IP地址: 149.118.48.187:443 | 地区: SG
NO.2708 | 流媒体网速: 5.33 MB/s | IP地址: 142.111.77.179:8443 | 地区: DE
NO.2709 | 流媒体网速: 5.33 MB/s | IP地址: 45.59.125.193:443 | 地区: CH
NO.2710 | 流媒体网速: 5.33 MB/s | IP地址: 178.208.75.153:443 | 地区: CZ
NO.2711 | 流媒体网速: 5.33 MB/s | IP地址: 179.255.185.126:443 | 地区: US
NO.2712 | 流媒体网速: 5.33 MB/s | IP地址: 5.253.59.78:443 | 地区: NL
NO.2713 | 流媒体网速: 5.32 MB/s | IP地址: 185.246.155.32:443 | 地区: NL
NO.2714 | 流媒体网速: 5.32 MB/s | IP地址: 159.65.193.47:2096 | 地区: NL
NO.2715 | 流媒体网速: 5.32 MB/s | IP地址: 168.222.255.166:8443 | 地区: LV
NO.2716 | 流媒体网速: 5.32 MB/s | IP地址: 138.16.141.50:8443 | 地区: NL
NO.2717 | 流媒体网速: 5.32 MB/s | IP地址: 159.223.224.122:2083 | 地区: NL
NO.2718 | 流媒体网速: 5.32 MB/s | IP地址: 130.17.21.173:8443 | 地区: DE
NO.2719 | 流媒体网速: 5.32 MB/s | IP地址: 178.62.231.216:2053 | 地区: NL
NO.2720 | 流媒体网速: 5.31 MB/s | IP地址: 46.101.77.41:443 | 地区: GB
NO.2721 | 流媒体网速: 5.31 MB/s | IP地址: 159.65.198.52:2053 | 地区: NL
NO.2722 | 流媒体网速: 5.31 MB/s | IP地址: 167.71.78.145:2053 | 地区: NL
NO.2723 | 流媒体网速: 5.31 MB/s | IP地址: 185.126.64.4:2053 | 地区: PL
NO.2724 | 流媒体网速: 5.31 MB/s | IP地址: 107.158.13.157:443 | 地区: US
NO.2725 | 流媒体网速: 5.31 MB/s | IP地址: 5.161.19.165:443 | 地区: US
NO.2726 | 流媒体网速: 5.31 MB/s | IP地址: 153.76.117.221:443 | 地区: NL
NO.2727 | 流媒体网速: 5.31 MB/s | IP地址: 164.92.149.114:2087 | 地区: NL
NO.2728 | 流媒体网速: 5.31 MB/s | IP地址: 45.128.232.137:443 | 地区: NL
NO.2729 | 流媒体网速: 5.30 MB/s | IP地址: 130.185.123.191:8443 | 地区: DE
NO.2730 | 流媒体网速: 5.30 MB/s | IP地址: 147.45.234.110:443 | 地区: NL
NO.2731 | 流媒体网速: 5.30 MB/s | IP地址: 140.235.39.162:443 | 地区: TW
NO.2732 | 流媒体网速: 5.30 MB/s | IP地址: 164.92.137.46:2083 | 地区: DE
NO.2733 | 流媒体网速: 5.30 MB/s | IP地址: 104.252.19.110:443 | 地区: LV
NO.2734 | 流媒体网速: 5.30 MB/s | IP地址: 45.85.117.17:8443 | 地区: NL
NO.2735 | 流媒体网速: 5.30 MB/s | IP地址: 153.56.171.124:8443 | 地区: FR
NO.2736 | 流媒体网速: 5.30 MB/s | IP地址: 164.92.144.181:2087 | 地区: NL
NO.2737 | 流媒体网速: 5.30 MB/s | IP地址: 185.28.100.60:443 | 地区: CZ
NO.2738 | 流媒体网速: 5.30 MB/s | IP地址: 178.62.206.25:8443 | 地区: NL
NO.2739 | 流媒体网速: 5.29 MB/s | IP地址: 144.31.102.149:8443 | 地区: PL
NO.2740 | 流媒体网速: 5.29 MB/s | IP地址: 176.124.204.176:443 | 地区: DE
NO.2741 | 流媒体网速: 5.29 MB/s | IP地址: 139.28.220.204:443 | 地区: FI
NO.2742 | 流媒体网速: 5.29 MB/s | IP地址: 46.101.250.238:2053 | 地区: DE
NO.2743 | 流媒体网速: 5.29 MB/s | IP地址: 150.241.64.138:443 | 地区: DE
NO.2744 | 流媒体网速: 5.29 MB/s | IP地址: 146.185.163.82:443 | 地区: NL
NO.2745 | 流媒体网速: 5.28 MB/s | IP地址: 130.17.27.25:443 | 地区: DE
NO.2746 | 流媒体网速: 5.28 MB/s | IP地址: 185.112.83.221:443 | 地区: FI
NO.2747 | 流媒体网速: 5.28 MB/s | IP地址: 165.232.110.149:443 | 地区: GB
NO.2748 | 流媒体网速: 5.28 MB/s | IP地址: 46.17.107.205:443 | 地区: US
NO.2749 | 流媒体网速: 5.28 MB/s | IP地址: 159.65.125.162:2096 | 地区: DE
NO.2750 | 流媒体网速: 5.28 MB/s | IP地址: 109.248.160.174:2083 | 地区: US
NO.2751 | 流媒体网速: 5.28 MB/s | IP地址: 178.253.16.70:8443 | 地区: FI
NO.2752 | 流媒体网速: 5.28 MB/s | IP地址: 146.185.149.123:443 | 地区: NL
NO.2753 | 流媒体网速: 5.28 MB/s | IP地址: 162.243.115.22:443 | 地区: US
NO.2754 | 流媒体网速: 5.27 MB/s | IP地址: 185.238.251.210:2083 | 地区: US
NO.2755 | 流媒体网速: 5.27 MB/s | IP地址: 185.228.72.135:8443 | 地区: US
NO.2756 | 流媒体网速: 5.27 MB/s | IP地址: 185.18.52.254:2053 | 地区: NL
NO.2757 | 流媒体网速: 5.27 MB/s | IP地址: 168.107.90.208:443 | 地区: SG
NO.2758 | 流媒体网速: 5.27 MB/s | IP地址: 136.243.86.82:2053 | 地区: DE
NO.2759 | 流媒体网速: 5.27 MB/s | IP地址: 159.89.102.242:2096 | 地区: DE
NO.2760 | 流媒体网速: 5.27 MB/s | IP地址: 146.190.236.243:2083 | 地区: NL
NO.2761 | 流媒体网速: 5.27 MB/s | IP地址: 167.71.139.172:443 | 地区: GB
NO.2762 | 流媒体网速: 5.27 MB/s | IP地址: 104.252.111.38:8443 | 地区: FR
NO.2763 | 流媒体网速: 5.27 MB/s | IP地址: 164.90.176.31:2087 | 地区: DE
NO.2764 | 流媒体网速: 5.27 MB/s | IP地址: 46.101.156.38:2096 | 地区: DE
NO.2765 | 流媒体网速: 5.26 MB/s | IP地址: 88.218.193.65:443 | 地区: DE
NO.2766 | 流媒体网速: 5.26 MB/s | IP地址: 185.125.103.113:443 | 地区: DE
NO.2767 | 流媒体网速: 5.26 MB/s | IP地址: 135.181.84.31:443 | 地区: FI
NO.2768 | 流媒体网速: 5.26 MB/s | IP地址: 165.227.134.153:2096 | 地区: DE
NO.2769 | 流媒体网速: 5.26 MB/s | IP地址: 152.42.138.46:2053 | 地区: NL
NO.2770 | 流媒体网速: 5.26 MB/s | IP地址: 46.101.254.53:8443 | 地区: DE
NO.2771 | 流媒体网速: 5.26 MB/s | IP地址: 185.210.154.123:443 | 地区: DE
NO.2772 | 流媒体网速: 5.26 MB/s | IP地址: 165.22.206.200:8443 | 地区: NL
NO.2773 | 流媒体网速: 5.26 MB/s | IP地址: 185.21.8.127:443 | 地区: DE
NO.2774 | 流媒体网速: 5.26 MB/s | IP地址: 109.69.61.17:443 | 地区: FI
NO.2775 | 流媒体网速: 5.26 MB/s | IP地址: 46.101.224.87:2087 | 地区: DE
NO.2776 | 流媒体网速: 5.26 MB/s | IP地址: 179.255.185.132:443 | 地区: US
NO.2777 | 流媒体网速: 5.26 MB/s | IP地址: 162.217.249.21:443 | 地区: NL
NO.2778 | 流媒体网速: 5.26 MB/s | IP地址: 147.45.101.55:8443 | 地区: NL
NO.2779 | 流媒体网速: 5.25 MB/s | IP地址: 46.101.172.79:2096 | 地区: DE
NO.2780 | 流媒体网速: 5.25 MB/s | IP地址: 152.42.130.189:443 | 地区: NL
NO.2781 | 流媒体网速: 5.25 MB/s | IP地址: 13.63.216.71:443 | 地区: SE
NO.2782 | 流媒体网速: 5.25 MB/s | IP地址: 144.126.230.21:2053 | 地区: GB
NO.2783 | 流媒体网速: 5.25 MB/s | IP地址: 164.92.212.225:2083 | 地区: NL
NO.2784 | 流媒体网速: 5.25 MB/s | IP地址: 185.36.141.193:443 | 地区: EE
NO.2785 | 流媒体网速: 5.25 MB/s | IP地址: 167.71.3.187:443 | 地区: NL
NO.2786 | 流媒体网速: 5.25 MB/s | IP地址: 104.192.92.190:443 | 地区: SG
NO.2787 | 流媒体网速: 5.25 MB/s | IP地址: 46.8.71.117:443 | 地区: LV
NO.2788 | 流媒体网速: 5.25 MB/s | IP地址: 46.246.109.107:8443 | 地区: SE
