==========================================================
     YouTube 专用优选网速排名（第一行最适合看视频）
==========================================================

NO.1 | 流媒体网速: 26.59 MB/s | IP地址: [2a0e:97c0:3f0:1::46e]:443 | 地区: 香港
NO.208 | 流媒体网速: 7.66 MB/s | IP地址: [2607:f130:0:114::d]:8443 | 地区: 美国
NO.209 | 流媒体网速: 7.65 MB/s | IP地址: [2604:a880:2:d1:0:1:2fae:1]:443 | 地区: 美国-圣何塞
NO.210 | 流媒体网速: 7.65 MB/s | IP地址: [2603:c023:b:6d00:0:ed20:385d:465c]:443 | 地区: 日本-大阪
NO.211 | 流媒体网速: 7.60 MB/s | IP地址: [2603:c021:801f:11a1:0:6d34:1434:c832]:443 | 地区: 日本
NO.212 | 流媒体网速: 7.60 MB/s | IP地址: [2607:8700:5501:30b0::2]:8443 | 地区: 美国-洛杉矶
NO.213 | 流媒体网速: 7.59 MB/s | IP地址: [2604:a880:4:1d0:0:2:e313:6000]:443 | 地区: 美国-圣何塞
NO.214 | 流媒体网速: 7.53 MB/s | IP地址: [2400:8500:2002:3176:160:251:209:94]:443 | 地区: 日本-福冈
NO.215 | 流媒体网速: 7.46 MB/s | IP地址: [2a14:7586:1a10::1]:443 | 地区: 美国-洛杉矶
NO.216 | 流媒体网速: 7.43 MB/s | IP地址: [2401:c080:3000:4427:5400:6ff:fe73:cc45]:443 | 地区: 印度
NO.217 | 流媒体网速: 7.42 MB/s | IP地址: [2a01:7c8:aab4:129:5054:ff:fe8b:8186]:443 | 地区: 荷兰
NO.218 | 流媒体网速: 7.42 MB/s | IP地址: [2001:19f0:4400:4a89:5400:6ff:fe53:5785]:443 | 地区: 新加坡
NO.219 | 流媒体网速: 7.41 MB/s | IP地址: [2604:a00:101:22:216:3eff:fe35:9b35]:8443 | 地区: 美国-洛杉矶
NO.220 | 流媒体网速: 7.41 MB/s | IP地址: [2607:f130:0:18d:216:3eff:fea7:1464]:443 | 地区: 美国
NO.221 | 流媒体网速: 7.31 MB/s | IP地址: [2001:19f0:ac00:4bf7:5400:6ff:fe6d:bcd7]:8443 | 地区: 美国-圣何塞
NO.222 | 流媒体网速: 7.30 MB/s | IP地址: [2001:470:6c:2c4::2]:443 | 地区: 德国
NO.223 | 流媒体网速: 7.29 MB/s | IP地址: [2605:52c0:2:1366:78dd:5fff:fe51:66dd]:8443 | 地区: 美国-洛杉矶
NO.224 | 流媒体网速: 7.28 MB/s | IP地址: [2a01:ecc0:1004:f600::2]:443 | 地区: 荷兰
NO.225 | 流媒体网速: 7.16 MB/s | IP地址: [2602:fa4f:900:f4a3:dee3:59ac:221d:1fd]:8443 | 地区: 美国-洛杉矶
NO.226 | 流媒体网速: 7.12 MB/s | IP地址: [2a13:36c0:1ff:1687::1]:2053 | 地区: 荷兰
NO.227 | 流媒体网速: 7.09 MB/s | IP地址: [2607:f130:0:187::6ad9:e1e5]:443 | 地区: 美国
NO.228 | 流媒体网速: 7.06 MB/s | IP地址: [2604:a880:2:d1:0:1:5309:2001]:443 | 地区: 美国-圣何塞
NO.229 | 流媒体网速: 7.03 MB/s | IP地址: [2603:c024:4520:e015:0:d730:135b:9eaf]:8443 | 地区: 新加坡
NO.230 | 流媒体网速: 7.02 MB/s | IP地址: [2607:f130:0:187::c681:a46f]:8443 | 地区: 美国
NO.231 | 流媒体网速: 7.01 MB/s | IP地址: [2001:41d0:ab05::4:0:554]:443 | 地区: ZRH
NO.232 | 流媒体网速: 6.94 MB/s | IP地址: [2a01:7c8:d006:406:5054:ff:fe92:8c40]:443 | 地区: 荷兰
NO.233 | 流媒体网速: 6.88 MB/s | IP地址: [2603:c021:801e:4f01:0:7171:9a9f:d7c2]:443 | 地区: 日本
NO.234 | 流媒体网速: 6.87 MB/s | IP地址: [2603:c023:14:7b01:0:a501:f728:488d]:443 | 地区: 日本-大阪
NO.235 | 流媒体网速: 6.87 MB/s | IP地址: [2a01:ecc0:1007:f300::2]:8443 | 地区: 荷兰
NO.236 | 流媒体网速: 6.87 MB/s | IP地址: [2607:8700:5500:559d::2]:8443 | 地区: 美国-洛杉矶
NO.237 | 流媒体网速: 6.86 MB/s | IP地址: [2607:f130:0:1a0:216:3eff:fe2b:a917]:443 | 地区: 美国
NO.238 | 流媒体网速: 6.84 MB/s | IP地址: [2604:a880:4:1d0:0:2:e313:1000]:443 | 地区: 美国-圣何塞
NO.239 | 流媒体网速: 6.84 MB/s | IP地址: [2a01:ecc0:6000:1dd::2]:443 | 地区: 荷兰
NO.240 | 流媒体网速: 6.84 MB/s | IP地址: [2604:a880:2:d1:0:1:5b12:a001]:443 | 地区: 美国-圣何塞
NO.241 | 流媒体网速: 6.72 MB/s | IP地址: [2401:4520:1075::a]:443 | 地区: 新加坡
NO.242 | 流媒体网速: 6.70 MB/s | IP地址: [2401:c080:1c01:b65:5400:6ff:fe9c:c97f]:443 | 地区: 韩国
NO.243 | 流媒体网速: 6.66 MB/s | IP地址: [2401:c080:1400:6424:5400:6ff:fe79:b1f5]:443 | 地区: 新加坡
NO.244 | 流媒体网速: 6.65 MB/s | IP地址: [2602:fd37:10a:6e::a]:443 | 地区: 美国-圣何塞
NO.245 | 流媒体网速: 6.61 MB/s | IP地址: [2a01:ecc0:1008:8300::2]:443 | 地区: 荷兰
NO.246 | 流媒体网速: 6.58 MB/s | IP地址: [2a01:ecc0:1000:1340::2]:443 | 地区: 荷兰
NO.247 | 流媒体网速: 6.56 MB/s | IP地址: [2a01:ecc0:6000:10f3::2]:443 | 地区: 荷兰
NO.248 | 流媒体网速: 6.55 MB/s | IP地址: [2a01:ecc0:5000:1c1::2]:2096 | 地区: 荷兰
NO.249 | 流媒体网速: 6.49 MB/s | IP地址: [2a13:36c0:1ff:1011::1]:8443 | 地区: 荷兰
NO.250 | 流媒体网速: 6.45 MB/s | IP地址: [2401:c080:3000:27de:5400:4ff:fea5:fb91]:8443 | 地区: 印度
NO.251 | 流媒体网速: 6.45 MB/s | IP地址: [2a01:ecc0:4000:2ff::2]:8443 | 地区: 荷兰
NO.252 | 流媒体网速: 6.43 MB/s | IP地址: [2603:c023:10:457e:c50f:e446:729e:defa]:443 | 地区: 日本-大阪
NO.253 | 流媒体网速: 6.38 MB/s | IP地址: [2a01:ecc0:5000:3b::2]:8443 | 地区: 荷兰
NO.254 | 流媒体网速: 6.38 MB/s | IP地址: [2a12:e100:25:3ab7:c03b:f713:f540:acb9]:443 | 地区: 日本
NO.255 | 流媒体网速: 6.38 MB/s | IP地址: [2401:4520:10ef::a]:443 | 地区: 新加坡
NO.256 | 流媒体网速: 6.36 MB/s | IP地址: [2602:fa59:9:f08::1]:443 | 地区: 美国-洛杉矶
NO.257 | 流媒体网速: 6.33 MB/s | IP地址: [2001:41d0:ab00::4:0:409]:2053 | 地区: 法国
NO.258 | 流媒体网速: 6.33 MB/s | IP地址: [2a01:ecc0:540:125::2]:8443 | 地区: 荷兰
NO.259 | 流媒体网速: 6.30 MB/s | IP地址: [2607:f130:0:16c:216:3eff:fe69:f60c]:443 | 地区: 美国
NO.260 | 流媒体网速: 6.29 MB/s | IP地址: [2607:f130:0:10c::c7]:443 | 地区: 美国
NO.261 | 流媒体网速: 6.28 MB/s | IP地址: [2400:38e0:0:4063::88]:443 | 地区: 美国-洛杉矶
NO.262 | 流媒体网速: 6.27 MB/s | IP地址: [2602:fa59:10:46::1]:443 | 地区: 美国-洛杉矶
NO.263 | 流媒体网速: 6.27 MB/s | IP地址: [2a12:bec0:68f:60b::]:443 | 地区: 美国-西雅图
NO.264 | 流媒体网速: 6.26 MB/s | IP地址: [2a04:bdc7:100:7882::1]:8443 | 地区: 美国-洛杉矶
NO.265 | 流媒体网速: 6.23 MB/s | IP地址: [2607:5300:205:200::37ad]:8443 | 地区: 加拿大-魁北克
NO.266 | 流媒体网速: 6.21 MB/s | IP地址: [2a01:ecc0:40:11b2::2]:443 | 地区: 瑞典
NO.267 | 流媒体网速: 6.19 MB/s | IP地址: [2401:c080:3000:27de:5400:4ff:fea5:fb91]:8443 | 地区: 印度
NO.268 | 流媒体网速: 6.19 MB/s | IP地址: [2a01:ecc0:1000:c2c::2]:2053 | 地区: 荷兰
NO.269 | 流媒体网速: 6.16 MB/s | IP地址: [2a01:ecc0:40:1e5e::2]:8443 | 地区: 德国
NO.270 | 流媒体网速: 6.15 MB/s | IP地址: [2604:a880:2:d1:0:1:6f2a:7001]:8443 | 地区: 美国-圣何塞
NO.271 | 流媒体网速: 6.09 MB/s | IP地址: [2a01:ecc0:6000:3d2::2]:443 | 地区: 荷兰
NO.272 | 流媒体网速: 6.05 MB/s | IP地址: [2602:f873:11:605:0:1:a332:a827]:443 | 地区: 美国-洛杉矶
NO.273 | 流媒体网速: 6.03 MB/s | IP地址: [2a01:ecc0:5000:7d::2]:8443 | 地区: 荷兰
NO.274 | 流媒体网速: 6.01 MB/s | IP地址: [2a0b:4142:10a3::2]:8443 | 地区: 德国
NO.275 | 流媒体网速: 5.97 MB/s | IP地址: [2602:fa59:9:281::1]:443 | 地区: 美国-洛杉矶
NO.276 | 流媒体网速: 5.91 MB/s | IP地址: [2603:c024:4513:ca3e:0:3b7f:3ab0:5b65]:8443 | 地区: 新加坡
NO.277 | 流媒体网速: 5.90 MB/s | IP地址: [2a05:541:131:6::1]:443 | 地区: 比利时
NO.278 | 流媒体网速: 5.90 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:f959:3000]:443 | 地区: 德国
NO.279 | 流媒体网速: 5.88 MB/s | IP地址: [2402:1920:ffff:100:5638:7c18:7e31:ac4e]:443 | 地区: 美国-洛杉矶
NO.280 | 流媒体网速: 5.87 MB/s | IP地址: [2001:41d0:701:1100::7694]:8443 | 地区: 德国
NO.281 | 流媒体网速: 5.85 MB/s | IP地址: [2001:41d0:734:444::1]:8443 | 地区: 德国
NO.282 | 流媒体网速: 5.85 MB/s | IP地址: [2a01:ecc0:1000:bde::2]:8443 | 地区: 荷兰
NO.283 | 流媒体网速: 5.84 MB/s | IP地址: [2001:41d0:ab00::4:0:d4]:443 | 地区: 法国
NO.284 | 流媒体网速: 5.82 MB/s | IP地址: [2602:fbf1:b005:106e:3cbc:ae87:e7df:ffca]:443 | 地区: 美国-洛杉矶
NO.285 | 流媒体网速: 5.80 MB/s | IP地址: [2603:c024:4518:847e:63fb:e161:ff5b:4487]:8443 | 地区: 新加坡
NO.286 | 流媒体网速: 5.80 MB/s | IP地址: [2a02:c207:2316:6172::1]:2053 | 地区: 德国
NO.287 | 流媒体网速: 5.71 MB/s | IP地址: [2602:fa4f:b00:4f9c:e87e:e3f7:344e:73b]:443 | 地区: 日本
NO.288 | 流媒体网速: 5.68 MB/s | IP地址: [2602:f873:10:401:0:1:44d2:f0da]:443 | 地区: 美国-洛杉矶
NO.289 | 流媒体网速: 5.64 MB/s | IP地址: [2a01:ecc0:5000:7d::2]:443 | 地区: 荷兰
NO.290 | 流媒体网速: 5.63 MB/s | IP地址: [2603:c024:4507:ccbb:b:b:b:b]:443 | 地区: 新加坡
NO.291 | 流媒体网速: 5.63 MB/s | IP地址: [2602:f873:10:401:0:1:aba0:47e5]:443 | 地区: 美国-洛杉矶
NO.292 | 流媒体网速: 5.58 MB/s | IP地址: [2603:c024:4513:ca3e:0:478d:41ea:1d55]:8443 | 地区: 新加坡
NO.293 | 流媒体网速: 5.56 MB/s | IP地址: [2a03:b0c0:0:1051::26cc:a000]:443 | 地区: 荷兰
NO.294 | 流媒体网速: 5.55 MB/s | IP地址: [2a01:ecc0:1002:400::2]:443 | 地区: 荷兰
NO.295 | 流媒体网速: 5.52 MB/s | IP地址: [2a01:ecc0:40:e47::2]:443 | 地区: 德国
NO.296 | 流媒体网速: 5.52 MB/s | IP地址: [2a12:bec4:1ac1:1ae::]:2087 | 地区: 波兰
NO.297 | 流媒体网速: 5.51 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:5d6f:a001]:443 | 地区: 荷兰
NO.298 | 流媒体网速: 5.49 MB/s | IP地址: [2a01:ecc0:c80:16b::2]:443 | 地区: 荷兰
NO.299 | 流媒体网速: 5.49 MB/s | IP地址: [2a12:bec4:1de0:29c::2]:443 | 地区: 荷兰
NO.300 | 流媒体网速: 5.47 MB/s | IP地址: [2607:f130:0:158::5637:6948]:8443 | 地区: 美国
NO.301 | 流媒体网速: 5.47 MB/s | IP地址: [2602:f873:11:605:0:1:559d:c22a]:2053 | 地区: 美国-洛杉矶
NO.302 | 流媒体网速: 5.47 MB/s | IP地址: [2a12:bec4:1ac0:f85::]:443 | 地区: 荷兰
NO.303 | 流媒体网速: 5.46 MB/s | IP地址: [2602:f873:10:401:0:1:313:ee6c]:443 | 地区: 美国-洛杉矶
NO.304 | 流媒体网速: 5.46 MB/s | IP地址: [2a12:bec4:1ac0:e30::]:8443 | 地区: 荷兰
NO.305 | 流媒体网速: 5.45 MB/s | IP地址: [2603:c024:4522:d400:0:aeb5:6247:e976]:443 | 地区: 新加坡
NO.306 | 流媒体网速: 5.44 MB/s | IP地址: [2401:c080:2000:19a4:5400:6ff:fe25:e429]:2096 | 地区: MEL
NO.307 | 流媒体网速: 5.37 MB/s | IP地址: [2a12:bec4:1bb0:1665::2]:443 | 地区: 德国
NO.308 | 流媒体网速: 5.37 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:ebc:8000]:443 | 地区: 德国
NO.309 | 流媒体网速: 5.36 MB/s | IP地址: [2a01:ecc0:500:10f::2]:443 | 地区: 荷兰
NO.310 | 流媒体网速: 5.36 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:605c:b001]:443 | 地区: 荷兰
NO.311 | 流媒体网速: 5.35 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:fd65:a000]:443 | 地区: 德国
NO.312 | 流媒体网速: 5.35 MB/s | IP地址: [2a03:b0c0:0:1051::2752:b000]:443 | 地区: 荷兰
NO.313 | 流媒体网速: 5.32 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:f800:2000]:443 | 地区: 德国
NO.314 | 流媒体网速: 5.31 MB/s | IP地址: [2001:41d0:404:200::45ec]:2053 | 地区: 德国
NO.315 | 流媒体网速: 5.29 MB/s | IP地址: [2401:4520:1099::a]:443 | 地区: 新加坡
NO.316 | 流媒体网速: 5.27 MB/s | IP地址: [2a03:b0c0:0:1051::2f3d:e000]:443 | 地区: 荷兰
NO.317 | 流媒体网速: 5.27 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:df1:5000]:443 | 地区: 德国
NO.318 | 流媒体网速: 5.26 MB/s | IP地址: [2a12:bec4:1ac0:1042::]:2083 | 地区: 荷兰
NO.319 | 流媒体网速: 5.26 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:5d6f:9001]:443 | 地区: 荷兰
NO.320 | 流媒体网速: 5.26 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:5c17:a001]:443 | 地区: 荷兰
NO.321 | 流媒体网速: 5.25 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:5f95:8001]:443 | 地区: 荷兰
NO.322 | 流媒体网速: 5.25 MB/s | IP地址: [2a02:c207:2330:956::1]:443 | 地区: 德国
NO.323 | 流媒体网速: 5.25 MB/s | IP地址: [2001:41d0:305:2100::1:3aab]:8443 | 地区: 法国
NO.324 | 流媒体网速: 5.22 MB/s | IP地址: [2a12:bec4:1bb0:1b3f::2]:443 | 地区: 德国
NO.325 | 流媒体网速: 5.22 MB/s | IP地址: [2602:fa59:5:da8::1]:8443 | 地区: 荷兰
NO.326 | 流媒体网速: 5.21 MB/s | IP地址: [2a13:36c0:1ff:1878::1]:443 | 地区: 荷兰
NO.327 | 流媒体网速: 5.21 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:faa5:3000]:443 | 地区: 德国
NO.328 | 流媒体网速: 5.21 MB/s | IP地址: [2a02:c207:2303:4762::1]:8443 | 地区: 德国
NO.329 | 流媒体网速: 5.21 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:f7ff:2000]:443 | 地区: 德国
NO.330 | 流媒体网速: 5.20 MB/s | IP地址: [2a12:bec4:1bb0:1a9d::2]:443 | 地区: 德国
NO.331 | 流媒体网速: 5.19 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2bc1:c001]:443 | 地区: 英国
NO.332 | 流媒体网速: 5.18 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:e49:6000]:443 | 地区: 德国
NO.333 | 流媒体网速: 5.16 MB/s | IP地址: [2a03:b0c0:0:1051::243f:3000]:443 | 地区: 荷兰
NO.334 | 流媒体网速: 5.16 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:341b:c001]:443 | 地区: 英国
NO.335 | 流媒体网速: 5.16 MB/s | IP地址: [2a03:b0c0:0:1051::2405:1000]:443 | 地区: 荷兰
NO.336 | 流媒体网速: 5.16 MB/s | IP地址: [2a01:ecc0:5000:c4::2]:443 | 地区: 荷兰
NO.337 | 流媒体网速: 5.15 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2587:b001]:443 | 地区: 英国
NO.338 | 流媒体网速: 5.15 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:fb59:3000]:443 | 地区: 德国
NO.339 | 流媒体网速: 5.14 MB/s | IP地址: [2a11:8083:11:12be::a]:443 | 地区: 新加坡
NO.340 | 流媒体网速: 5.14 MB/s | IP地址: [2a03:b0c0:0:1051::26e4:b000]:443 | 地区: 荷兰
NO.341 | 流媒体网速: 5.14 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:5d6f:e001]:443 | 地区: 荷兰
NO.342 | 流媒体网速: 5.12 MB/s | IP地址: [140.83.86.166]:443 | 地区: 日本-大阪
NO.343 | 流媒体网速: 5.12 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:13f0:0]:443 | 地区: 德国
NO.344 | 流媒体网速: 5.11 MB/s | IP地址: [2a01:ecc0:1000:1d3a::2]:443 | 地区: 荷兰
NO.345 | 流媒体网速: 5.11 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:ce8:a000]:443 | 地区: 德国
NO.346 | 流媒体网速: 5.09 MB/s | IP地址: [2a12:bec4:1bb0:1f3a::2]:443 | 地区: OTP
NO.347 | 流媒体网速: 5.08 MB/s | IP地址: [2a01:ecc0:1006:ae00::2]:443 | 地区: 荷兰
NO.348 | 流媒体网速: 5.07 MB/s | IP地址: [2602:f873:11:603:0:1:23e7:c0f8]:443 | 地区: 美国-洛杉矶
NO.349 | 流媒体网速: 5.06 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:e49:8000]:443 | 地区: 德国
NO.350 | 流媒体网速: 5.05 MB/s | IP地址: [2a01:ecc0:c40:b3::2]:8443 | 地区: 荷兰
NO.351 | 流媒体网速: 5.04 MB/s | IP地址: [2607:f130:0:17d:216:3eff:fee4:4a85]:443 | 地区: 美国
NO.352 | 流媒体网速: 5.04 MB/s | IP地址: [2a14:1ec7:10fa:3db4::1]:2053 | 地区: 荷兰
NO.353 | 流媒体网速: 5.03 MB/s | IP地址: [2602:fa59:10:2f6::1]:443 | 地区: 美国-洛杉矶
NO.354 | 流媒体网速: 5.03 MB/s | IP地址: [2a03:b0c0:0:1051::2404:b000]:443 | 地区: 荷兰
NO.355 | 流媒体网速: 5.02 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:5b52:1]:443 | 地区: 荷兰
NO.356 | 流媒体网速: 5.01 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2561:a001]:443 | 地区: 英国
NO.357 | 流媒体网速: 5.00 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:fd75:e000]:443 | 地区: 德国
NO.358 | 流媒体网速: 5.00 MB/s | IP地址: [2401:c080:1c02:21e:5400:5ff:fed7:6204]:2087 | 地区: 韩国
NO.359 | 流媒体网速: 4.99 MB/s | IP地址: [2a13:d201:0:aa::1]:443 | 地区: 波兰
NO.360 | 流媒体网速: 4.98 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:b34:c000]:443 | 地区: 德国
NO.361 | 流媒体网速: 4.96 MB/s | IP地址: [2602:fce1:4c8:2505::]:443 | 地区: 美国-洛杉矶
NO.362 | 流媒体网速: 4.93 MB/s | IP地址: [2a0b:4142:689::2]:8443 | 地区: 德国
NO.363 | 流媒体网速: 4.92 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:fbd3:e000]:443 | 地区: 德国
NO.364 | 流媒体网速: 4.92 MB/s | IP地址: [2400:8500:2002:3174:160:251:204:134]:443 | 地区: 日本-福冈
NO.365 | 流媒体网速: 4.92 MB/s | IP地址: [2a03:b0c0:0:1051::25d0:7000]:443 | 地区: 荷兰
NO.366 | 流媒体网速: 4.91 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:6258:e000]:8443 | 地区: 德国
NO.367 | 流媒体网速: 4.90 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2bc1:8001]:443 | 地区: 英国
NO.368 | 流媒体网速: 4.89 MB/s | IP地址: [2a12:bec4:1de0:3f::2]:443 | 地区: 荷兰
NO.369 | 流媒体网速: 4.89 MB/s | IP地址: [2a01:ecc0:6000:6f5::2]:2053 | 地区: 荷兰
NO.370 | 流媒体网速: 4.89 MB/s | IP地址: [2400:8500:2002:3177:160:251:210:41]:443 | 地区: 日本-福冈
NO.371 | 流媒体网速: 4.89 MB/s | IP地址: [2a12:bec4:1ac0:f67::]:443 | 地区: 荷兰
NO.372 | 流媒体网速: 4.88 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:f7ff:4000]:443 | 地区: 德国
NO.373 | 流媒体网速: 4.84 MB/s | IP地址: [2a01:ecc0:5000:3b::2]:443 | 地区: 荷兰
NO.374 | 流媒体网速: 4.84 MB/s | IP地址: [2602:f873:11:603:0:1:5e59:a97f]:443 | 地区: 美国-洛杉矶
NO.375 | 流媒体网速: 4.82 MB/s | IP地址: [2a01:ecc0:1007:3200::2]:8443 | 地区: 荷兰
NO.376 | 流媒体网速: 4.81 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:5f5d:3001]:443 | 地区: 荷兰
NO.377 | 流媒体网速: 4.80 MB/s | IP地址: [2a12:bec0:162:182::]:443 | 地区: 台湾
NO.378 | 流媒体网速: 4.80 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:fd65:2000]:443 | 地区: 德国
NO.379 | 流媒体网速: 4.78 MB/s | IP地址: [2001:41d0:ab0a::4:0:171]:2053 | 地区: 奥地利
NO.380 | 流媒体网速: 4.78 MB/s | IP地址: [2602:fa59:5:da8::1]:443 | 地区: 荷兰
NO.381 | 流媒体网速: 4.77 MB/s | IP地址: [2401:c080:3000:22a5:5400:4ff:fe7d:54d9]:443 | 地区: 印度
NO.382 | 流媒体网速: 4.77 MB/s | IP地址: [2602:f873:10:401:0:1:e851:6730]:443 | 地区: 美国-洛杉矶
NO.383 | 流媒体网速: 4.76 MB/s | IP地址: [2a12:bec4:1ac0:f46::]:443 | 地区: 荷兰
NO.384 | 流媒体网速: 4.74 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:fd75:b000]:443 | 地区: 德国
NO.385 | 流媒体网速: 4.71 MB/s | IP地址: [2a13:36c0:1ff:1162::1]:443 | 地区: 荷兰
NO.386 | 流媒体网速: 4.71 MB/s | IP地址: [2603:c021:8010:ddee:6ab0:3d88:751d:c36d]:443 | 地区: 日本
NO.387 | 流媒体网速: 4.69 MB/s | IP地址: [2604:a880:2:d1:0:1:26b6:9001]:443 | 地区: 美国-圣何塞
NO.388 | 流媒体网速: 4.68 MB/s | IP地址: [2001:41d0:ab05::4:0:513]:443 | 地区: ZRH
NO.389 | 流媒体网速: 4.67 MB/s | IP地址: [2a12:bec4:1ac0:8d4::]:443 | 地区: 荷兰
NO.390 | 流媒体网速: 4.67 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2572:b001]:443 | 地区: 英国
NO.391 | 流媒体网速: 4.66 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2587:e001]:443 | 地区: 英国
NO.392 | 流媒体网速: 4.65 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:ebc:6000]:443 | 地区: 德国
NO.393 | 流媒体网速: 4.65 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2b2a:7001]:443 | 地区: 英国
NO.394 | 流媒体网速: 4.64 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2b8b:1001]:443 | 地区: 英国
NO.395 | 流媒体网速: 4.63 MB/s | IP地址: [2a12:bec4:1ac0:e62::]:8443 | 地区: 荷兰
NO.396 | 流媒体网速: 4.63 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2aa1:2001]:443 | 地区: 英国
NO.397 | 流媒体网速: 4.63 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:6abe:c001]:443 | 地区: 荷兰
NO.398 | 流媒体网速: 4.62 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:ce8:b000]:443 | 地区: 德国
NO.399 | 流媒体网速: 4.60 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:6f49:b001]:443 | 地区: 荷兰
NO.400 | 流媒体网速: 4.60 MB/s | IP地址: [2604:a880:cad:d0:0:1:92f6:3001]:443 | 地区: YYZ
NO.401 | 流媒体网速: 4.59 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:fde5:b000]:443 | 地区: 德国
NO.402 | 流媒体网速: 4.59 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:ebc:c000]:443 | 地区: 德国
NO.403 | 流媒体网速: 4.59 MB/s | IP地址: [2a03:b0c0:0:1051::26cc:f000]:443 | 地区: 荷兰
NO.404 | 流媒体网速: 4.59 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:5cc9:4001]:443 | 地区: 荷兰
NO.405 | 流媒体网速: 4.59 MB/s | IP地址: [2a13:36c0:1ff:1624::1]:8443 | 地区: 荷兰
NO.406 | 流媒体网速: 4.56 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:698e:f001]:443 | 地区: 荷兰
NO.407 | 流媒体网速: 4.55 MB/s | IP地址: [2a11:8083:11:12ad::a]:443 | 地区: 新加坡
NO.408 | 流媒体网速: 4.54 MB/s | IP地址: [2a12:bec4:1de0:1d1::2]:8443 | 地区: 荷兰
NO.409 | 流媒体网速: 4.53 MB/s | IP地址: [2a12:bec4:1bb0:1839::2]:8443 | 地区: 德国
NO.410 | 流媒体网速: 4.53 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:4c74:7001]:443 | 地区: 英国
NO.411 | 流媒体网速: 4.52 MB/s | IP地址: [2a12:bec4:1a80:231::2]:8443 | 地区: 荷兰
NO.412 | 流媒体网速: 4.51 MB/s | IP地址: [2602:f873:11:603:0:1:2208:bbcf]:443 | 地区: 美国-洛杉矶
NO.413 | 流媒体网速: 4.51 MB/s | IP地址: [2a0b:4142:10db::2]:443 | 地区: 德国
NO.414 | 流媒体网速: 4.49 MB/s | IP地址: [2a03:f80:491:2970::1]:8443 | 地区: 荷兰
NO.415 | 流媒体网速: 4.48 MB/s | IP地址: [2607:f130:0:179::54a1:cfc6]:443 | 地区: 美国
NO.416 | 流媒体网速: 4.47 MB/s | IP地址: [2a13:36c0:1ff:1489::1]:443 | 地区: 荷兰
NO.417 | 流媒体网速: 4.47 MB/s | IP地址: [2001:ac8:28:51:0:1:f446:7605]:443 | 地区: 德国
NO.418 | 流媒体网速: 4.47 MB/s | IP地址: [2a12:bec4:1ac1:22e::]:443 | 地区: 波兰
NO.419 | 流媒体网速: 4.46 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:5c5e:2001]:443 | 地区: 荷兰
NO.420 | 流媒体网速: 4.45 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:257f:f001]:443 | 地区: 英国
NO.421 | 流媒体网速: 4.45 MB/s | IP地址: [2607:5300:205:200::78d6]:8443 | 地区: 加拿大-魁北克
