改版后新加坡--------------
 NO.1 | 流媒体网速: 2.17 MB/s | IP地址: 178.128.90.108:443 | 地区:   
 NO.29 | 流媒体网速: 1.11 MB/s | IP地址: 179.253.228.31:443 | 地区: US  
 NO.30 | 流媒体网速: 1.11 MB/s | IP地址: 209.146.114.10:443 | 地区: US  
 NO.31 | 流媒体网速: 1.11 MB/s | IP地址: 179.255.96.83:443 | 地区: US  
 NO.32 | 流媒体网速: 1.11 MB/s | IP地址: 154.21.83.181:443 | 地区: US  
 NO.33 | 流媒体网速: 1.11 MB/s | IP地址: 179.255.104.195:443 | 地区: US  
 NO.34 | 流媒体网速: 1.10 MB/s | IP地址: 154.21.95.254:443 | 地区: US  
 NO.35 | 流媒体网速: 1.10 MB/s | IP地址: 179.255.97.54:443 | 地区: US  
 NO.36 | 流媒体网速: 1.10 MB/s | IP地址: 179.253.236.110:443 | 地区: US  
 NO.37 | 流媒体网速: 1.10 MB/s | IP地址: 179.253.232.104:443 | 地区: US  
 NO.38 | 流媒体网速: 1.10 MB/s | IP地址: 38.95.76.30:443 | 地区: US  
 NO.39 | 流媒体网速: 1.10 MB/s | IP地址: 179.253.245.31:443 | 地区: US  
 NO.40 | 流媒体网速: 1.10 MB/s | IP地址: 179.255.120.14:443 | 地区: US  
 NO.41 | 流媒体网速: 1.10 MB/s | IP地址: 208.68.180.204:443 | 地区: US  
 NO.42 | 流媒体网速: 1.10 MB/s | IP地址: 179.255.117.28:443 | 地区: US  
 NO.43 | 流媒体网速: 1.10 MB/s | IP地址: 179.255.108.22:443 | 地区: US  
 NO.44 | 流媒体网速: 1.10 MB/s | IP地址: 154.17.7.187:443 | 地区: US  
 NO.45 | 流媒体网速: 1.10 MB/s | IP地址: 179.255.153.0:443 | 地区: US  
 NO.46 | 流媒体网速: 1.10 MB/s | IP地址: 179.253.225.15:443 | 地区: US  
 NO.47 | 流媒体网速: 1.10 MB/s | IP地址: 179.253.228.125:443 | 地区: US  
 NO.48 | 流媒体网速: 1.9 MB/s | IP地址: 154.17.19.20:8443 | 地区: US  
 NO.49 | 流媒体网速: 1.9 MB/s | IP地址: 216.40.86.110:8443 | 地区: US  
 NO.50 | 流媒体网速: 1.9 MB/s | IP地址: 179.253.248.23:443 | 地区: US  
 NO.51 | 流媒体网速: 1.9 MB/s | IP地址: 179.253.237.68:443 | 地区: US  
 NO.52 | 流媒体网速: 1.9 MB/s | IP地址: 179.255.124.211:443 | 地区: US  
 NO.53 | 流媒体网速: 1.9 MB/s | IP地址: 179.255.116.198:443 | 地区: US  
 NO.54 | 流媒体网速: 1.9 MB/s | IP地址: 179.253.236.192:443 | 地区: US  
 NO.55 | 流媒体网速: 1.9 MB/s | IP地址: 179.255.101.56:443 | 地区: US  
 NO.56 | 流媒体网速: 1.9 MB/s | IP地址: 69.63.203.58:443 | 地区: US  
 NO.57 | 流媒体网速: 1.9 MB/s | IP地址: 179.253.240.49:443 | 地区: US  
 NO.58 | 流媒体网速: 1.9 MB/s | IP地址: 64.186.229.181:443 | 地区: US  
 NO.59 | 流媒体网速: 1.9 MB/s | IP地址: 179.255.148.212:443 | 地区: US  
 NO.60 | 流媒体网速: 1.9 MB/s | IP地址: 179.255.120.62:443 | 地区: US  
 NO.61 | 流媒体网速: 1.9 MB/s | IP地址: 154.64.236.247:443 | 地区: US  
 NO.62 | 流媒体网速: 1.9 MB/s | IP地址: 179.255.96.134:443 | 地区: US  
 NO.63 | 流媒体网速: 1.9 MB/s | IP地址: 179.255.113.68:443 | 地区: US  
 NO.64 | 流媒体网速: 1.9 MB/s | IP地址: 179.255.108.167:443 | 地区: US  
 NO.65 | 流媒体网速: 1.8 MB/s | IP地址: 179.255.124.8:443 | 地区: US  
 NO.66 | 流媒体网速: 1.8 MB/s | IP地址: 179.253.232.82:443 | 地区: US  
 NO.67 | 流媒体网速: 1.8 MB/s | IP地址: 179.255.104.217:443 | 地区: US  
 NO.68 | 流媒体网速: 1.8 MB/s | IP地址: 179.253.245.36:443 | 地区: US  
 NO.69 | 流媒体网速: 1.8 MB/s | IP地址: 179.255.108.97:443 | 地区: US  
 NO.70 | 流媒体网速: 1.8 MB/s | IP地址: 154.17.17.222:443 | 地区: US  
 NO.71 | 流媒体网速: 1.8 MB/s | IP地址: 179.255.152.223:443 | 地区: US  
 NO.72 | 流媒体网速: 1.8 MB/s | IP地址: 179.255.148.177:443 | 地区: US  
 NO.73 | 流媒体网速: 1.8 MB/s | IP地址: 179.255.152.172:443 | 地区: US  
 NO.74 | 流媒体网速: 1.8 MB/s | IP地址: 179.255.148.215:443 | 地区: US  
 NO.75 | 流媒体网速: 1.8 MB/s | IP地址: 179.255.105.12:443 | 地区: US  
 NO.76 | 流媒体网速: 1.8 MB/s | IP地址: 179.255.124.36:443 | 地区: US  
 NO.77 | 流媒体网速: 1.8 MB/s | IP地址: 144.34.232.90:443 | 地区: US  
 NO.78 | 流媒体网速: 1.8 MB/s | IP地址: 154.64.235.116:443 | 地区: US  
 NO.79 | 流媒体网速: 1.8 MB/s | IP地址: 38.147.160.150:443 | 地区: US  
 NO.80 | 流媒体网速: 1.8 MB/s | IP地址: 154.17.18.0:443 | 地区: US  
 NO.81 | 流媒体网速: 1.8 MB/s | IP地址: 188.255.156.81:443 | 地区: US  
 NO.82 | 流媒体网速: 1.8 MB/s | IP地址: 188.255.157.10:443 | 地区: US  
 NO.83 | 流媒体网速: 1.8 MB/s | IP地址: 138.128.194.154:443 | 地区: US  
 NO.84 | 流媒体网速: 1.7 MB/s | IP地址: 179.253.240.67:443 | 地区: US  
 NO.85 | 流媒体网速: 1.7 MB/s | IP地址: 69.63.199.128:443 | 地区: US  
 NO.86 | 流媒体网速: 1.7 MB/s | IP地址: 179.255.116.193:443 | 地区: US  
 NO.87 | 流媒体网速: 1.7 MB/s | IP地址: 179.255.96.130:443 | 地区: US  
 NO.88 | 流媒体网速: 1.7 MB/s | IP地址: 188.255.156.67:443 | 地区: US  
 NO.89 | 流媒体网速: 1.7 MB/s | IP地址: 154.26.184.52:443 | 地区: US  
 NO.90 | 流媒体网速: 1.7 MB/s | IP地址: 179.255.104.124:443 | 地区: US  
 NO.91 | 流媒体网速: 1.7 MB/s | IP地址: 179.255.148.2:443 | 地区: US  
 NO.92 | 流媒体网速: 1.7 MB/s | IP地址: 154.17.227.133:443 | 地区: US  
 NO.93 | 流媒体网速: 1.7 MB/s | IP地址: 64.186.239.178:443 | 地区: US  
 NO.94 | 流媒体网速: 1.6 MB/s | IP地址: 20.115.212.85:443 | 地区: US  
 NO.95 | 流媒体网速: 1.6 MB/s | IP地址: 38.95.79.242:443 | 地区: US  
 NO.96 | 流媒体网速: 1.6 MB/s | IP地址: 179.253.236.1:443 | 地区: US  
 NO.97 | 流媒体网速: 1.6 MB/s | IP地址: 179.253.236.102:443 | 地区: US  
 NO.98 | 流媒体网速: 1.5 MB/s | IP地址: 38.95.78.231:8443 | 地区: US  
 NO.99 | 流媒体网速: 1.5 MB/s | IP地址: 179.253.240.240:443 | 地区: US  
 NO.100 | 流媒体网速: 1.5 MB/s | IP地址: 154.17.26.227:443 | 地区: US  
 NO.101 | 流媒体网速: 1.5 MB/s | IP地址: 179.253.236.232:443 | 地区: US  
 NO.102 | 流媒体网速: 1.5 MB/s | IP地址: 179.255.157.114:443 | 地区: US  
 NO.103 | 流媒体网速: 1.5 MB/s | IP地址: 179.253.244.21:443 | 地区: US  
 NO.104 | 流媒体网速: 1.5 MB/s | IP地址: 188.255.156.112:8443 | 地区: US  
 NO.105 | 流媒体网速: 1.4 MB/s | IP地址: 38.95.79.249:443 | 地区: US  
 NO.106 | 流媒体网速: 1.4 MB/s | IP地址: 179.253.233.26:443 | 地区: US  
 NO.107 | 流媒体网速: 1.4 MB/s | IP地址: 179.255.148.79:443 | 地区: US  
 NO.108 | 流媒体网速: 1.4 MB/s | IP地址: 179.255.101.73:443 | 地区: US  
 NO.109 | 流媒体网速: 1.4 MB/s | IP地址: 179.255.144.127:443 | 地区: US  
 NO.110 | 流媒体网速: 1.4 MB/s | IP地址: 179.253.225.66:443 | 地区: US  
 NO.111 | 流媒体网速: 1.4 MB/s | IP地址: 179.255.120.75:443 | 地区: US  
 NO.112 | 流媒体网速: 1.4 MB/s | IP地址: 154.17.27.187:443 | 地区: US  
 NO.113 | 流媒体网速: 1.4 MB/s | IP地址: 179.253.241.90:443 | 地区: US  
 NO.114 | 流媒体网速: 1.4 MB/s | IP地址: 179.255.108.74:443 | 地区: US  
 NO.115 | 流媒体网速: 1.4 MB/s | IP地址: 154.17.12.58:443 | 地区: US  
 NO.116 | 流媒体网速: 1.4 MB/s | IP地址: 179.255.108.98:443 | 地区: US  
 NO.117 | 流媒体网速: 1.4 MB/s | IP地址: 179.255.116.71:443 | 地区: US  
 NO.118 | 流媒体网速: 1.4 MB/s | IP地址: 179.255.156.240:443 | 地区: US  
 NO.119 | 流媒体网速: 1.4 MB/s | IP地址: 179.253.236.105:443 | 地区: US  
 NO.120 | 流媒体网速: 1.4 MB/s | IP地址: 179.253.233.7:443 | 地区: US  
 NO.121 | 流媒体网速: 1.4 MB/s | IP地址: 179.253.236.92:443 | 地区: US  
 NO.122 | 流媒体网速: 1.4 MB/s | IP地址: 179.253.237.70:443 | 地区: US  
 NO.123 | 流媒体网速: 1.4 MB/s | IP地址: 179.253.232.227:443 | 地区: US  
 NO.124 | 流媒体网速: 1.3 MB/s | IP地址: 154.21.88.248:443 | 地区: US  
 NO.125 | 流媒体网速: 1.3 MB/s | IP地址: 179.255.104.81:443 | 地区: US  
 NO.126 | 流媒体网速: 1.3 MB/s | IP地址: 207.57.143.123:443 | 地区: US  
 NO.127 | 流媒体网速: 1.3 MB/s | IP地址: 50.118.184.82:443 | 地区: US  
 NO.128 | 流媒体网速: 1.3 MB/s | IP地址: 207.57.143.17:2053 | 地区: US  
 NO.129 | 流媒体网速: 1.3 MB/s | IP地址: 179.255.148.206:443 | 地区: US  
 NO.130 | 流媒体网速: 1.3 MB/s | IP地址: 179.253.224.122:443 | 地区: US  
 NO.131 | 流媒体网速: 1.3 MB/s | IP地址: 38.244.63.191:8443 | 地区: US  
 NO.132 | 流媒体网速: 1.3 MB/s | IP地址: 154.17.0.106:443 | 地区: US  
 NO.133 | 流媒体网速: 1.3 MB/s | IP地址: 179.255.120.44:443 | 地区: US  
 NO.134 | 流媒体网速: 1.3 MB/s | IP地址: 179.255.120.34:443 | 地区: US  
 NO.135 | 流媒体网速: 1.3 MB/s | IP地址: 154.17.1.168:443 | 地区: US  
 NO.136 | 流媒体网速: 1.3 MB/s | IP地址: 179.255.112.202:443 | 地区: US  
 NO.137 | 流媒体网速: 1.3 MB/s | IP地址: 179.255.121.27:443 | 地区: US  
 NO.138 | 流媒体网速: 1.3 MB/s | IP地址: 179.253.233.79:443 | 地区: US  
 NO.139 | 流媒体网速: 1.3 MB/s | IP地址: 179.255.108.180:443 | 地区: US  
 NO.140 | 流媒体网速: 1.2 MB/s | IP地址: 179.253.232.20:443 | 地区: US  
 NO.141 | 流媒体网速: 1.2 MB/s | IP地址: 179.255.152.201:443 | 地区: US  
 NO.142 | 流媒体网速: 1.2 MB/s | IP地址: 179.253.224.77:443 | 地区: US  
 NO.143 | 流媒体网速: 1.2 MB/s | IP地址: 104.194.91.47:443 | 地区: US  
 NO.144 | 流媒体网速: 1.2 MB/s | IP地址: 179.253.232.234:443 | 地区: US  
 NO.145 | 流媒体网速: 1.2 MB/s | IP地址: 179.255.100.10:443 | 地区: US  
 NO.146 | 流媒体网速: 1.2 MB/s | IP地址: 38.95.78.24:443 | 地区: US  
 NO.147 | 流媒体网速: 1.2 MB/s | IP地址: 179.253.224.96:443 | 地区: US  
 NO.148 | 流媒体网速: 1.2 MB/s | IP地址: 38.64.56.192:443 | 地区: US  
 NO.149 | 流媒体网速: 1.2 MB/s | IP地址: 154.17.229.156:443 | 地区: US  
 NO.150 | 流媒体网速: 1.2 MB/s | IP地址: 207.57.142.222:443 | 地区: US  
 NO.151 | 流媒体网速: 1.2 MB/s | IP地址: 179.255.120.188:443 | 地区: US  
 NO.152 | 流媒体网速: 1.2 MB/s | IP地址: 179.255.152.163:443 | 地区: US  
 NO.153 | 流媒体网速: 1.2 MB/s | IP地址: 179.253.249.92:443 | 地区: US  
 NO.154 | 流媒体网速: 1.2 MB/s | IP地址: 179.255.97.46:443 | 地区: US  
 NO.155 | 流媒体网速: 1.2 MB/s | IP地址: 69.63.192.91:443 | 地区: US  
 NO.156 | 流媒体网速: 1.2 MB/s | IP地址: 179.255.144.233:443 | 地区: US  
 NO.157 | 流媒体网速: 1.2 MB/s | IP地址: 179.253.240.50:443 | 地区: US  
 NO.158 | 流媒体网速: 1.2 MB/s | IP地址: 179.253.224.153:443 | 地区: US  
 NO.159 | 流媒体网速: 1.2 MB/s | IP地址: 179.255.100.96:443 | 地区: US  
 NO.160 | 流媒体网速: 1.2 MB/s | IP地址: 179.255.104.54:443 | 地区: US  
 NO.161 | 流媒体网速: 1.2 MB/s | IP地址: 192.243.114.186:443 | 地区: US  
 NO.162 | 流媒体网速: 1.2 MB/s | IP地址: 179.255.104.87:443 | 地区: US  
 NO.163 | 流媒体网速: 1.2 MB/s | IP地址: 179.255.108.176:443 | 地区: US  
 NO.164 | 流媒体网速: 1.2 MB/s | IP地址: 154.26.185.124:443 | 地区: US  
 NO.165 | 流媒体网速: 1.2 MB/s | IP地址: 38.207.186.116:443 | 地区: US  
 NO.166 | 流媒体网速: 1.2 MB/s | IP地址: 179.253.224.247:443 | 地区: US  
 NO.167 | 流媒体网速: 1.2 MB/s | IP地址: 179.255.152.239:443 | 地区: US  
 NO.168 | 流媒体网速: 1.2 MB/s | IP地址: 207.57.142.121:8443 | 地区: US  
 NO.169 | 流媒体网速: 1.2 MB/s | IP地址: 154.17.25.76:443 | 地区: US 

德国终极--------------

NO.1 | 流媒体网速: 1.26 MB/s | IP地址: 45.80.188.163:443 | 地区: DE  
 NO.2 | 流媒体网速: 1.26 MB/s | IP地址: 64.118.159.219:443 | 地区: DE  
 NO.3 | 流媒体网速: 1.26 MB/s | IP地址: 45.147.49.242:443 | 地区: DE  
 NO.4 | 流媒体网速: 1.21 MB/s | IP地址: 88.218.193.1:443 | 地区: DE  
 NO.5 | 流媒体网速: 1.19 MB/s | IP地址: 188.95.70.156:443 | 地区: DE  
 NO.6 | 流媒体网速: 1.17 MB/s | IP地址: 188.95.70.31:8443 | 地区: DE  
 NO.7 | 流媒体网速: 1.16 MB/s | IP地址: 178.22.26.117:443 | 地区: DE  
 NO.8 | 流媒体网速: 1.16 MB/s | IP地址: 45.147.48.115:2053 | 地区: DE  
 NO.9 | 流媒体网速: 1.15 MB/s | IP地址: 8.134.218.35:443 | 地区: DE  
 NO.10 | 流媒体网速: 1.7 MB/s | IP地址: 94.159.99.131:443 | 地区: DE  
 NO.11 | 流媒体网速: 1.6 MB/s | IP地址: 144.31.117.240:8443 | 地区: DE  
 NO.12 | 流媒体网速: 1.6 MB/s | IP地址: 45.147.48.28:443 | 地区: DE  
 NO.13 | 流媒体网速: 1.3 MB/s | IP地址: 94.159.105.213:443 | 地区: DE  
 NO.14 | 流媒体网速: 1.2 MB/s | IP地址: 185.9.25.56:8443 | 地区: DE  
 

香港高峰值--------

 NO.1 | 网速: 7.19 MB/s | IP地址: 91.110.209.82:443 | 地区:   
 NO.2 | 网速: 6.88 MB/s | IP地址: 91.110.174.201:8443 | 地区:   
 NO.3 | 网速: 6.61 MB/s | IP地址: 91.110.182.7:443 | 地区:   
 NO.4 | 网速: 6.46 MB/s | IP地址: 91.110.209.77:443 | 地区:   
 NO.5 | 网速: 6.16 MB/s | IP地址: 91.110.209.68:443 | 地区:   
 NO.6 | 网速: 6.14 MB/s | IP地址: 91.110.209.76:443 | 地区:   
 NO.7 | 网速: 5.99 MB/s | IP地址: 91.110.209.55:443 | 地区:   
 NO.8 | 网速: 5.83 MB/s | IP地址: 91.110.209.115:443 | 地区:   
 NO.9 | 网速: 5.78 MB/s | IP地址: 91.110.209.126:443 | 地区:   
 NO.10 | 网速: 5.76 MB/s | IP地址: 91.110.209.64:443 | 地区:   
 NO.11 | 网速: 5.73 MB/s | IP地址: 91.110.209.59:443 | 地区:   
 NO.12 | 网速: 5.73 MB/s | IP地址: 91.110.174.190:8443 | 地区:   
 NO.13 | 网速: 5.66 MB/s | IP地址: 91.110.209.90:443 | 地区:   
 NO.14 | 网速: 5.62 MB/s | IP地址: 91.110.209.57:443 | 地区:   
 NO.15 | 网速: 5.60 MB/s | IP地址: 91.110.209.89:443 | 地区:   
 NO.16 | 网速: 5.57 MB/s | IP地址: 91.110.209.54:443 | 地区:   
 NO.17 | 网速: 5.42 MB/s | IP地址: 91.110.209.44:443 | 地区:   
 NO.18 | 网速: 5.39 MB/s | IP地址: 91.110.209.72:443 | 地区:   
 NO.19 | 网速: 5.36 MB/s | IP地址: 91.110.209.125:443 | 地区:   
 NO.20 | 网速: 5.32 MB/s | IP地址: 91.110.209.93:443 | 地区:   
 NO.21 | 网速: 5.24 MB/s | IP地址: 91.110.209.66:443 | 地区:   
 NO.22 | 网速: 5.19 MB/s | IP地址: 91.110.209.123:443 | 地区:   
 NO.23 | 网速: 5.17 MB/s | IP地址: 91.110.209.60:443 | 地区:   
 NO.24 | 网速: 5.13 MB/s | IP地址: 91.110.209.71:443 | 地区:   
 NO.25 | 网速: 5.6 MB/s | IP地址: 91.110.209.69:443 | 地区:   
 NO.26 | 网速: 5.0 MB/s | IP地址: 91.110.209.53:443 | 地区:   
 NO.27 | 网速: 4.93 MB/s | IP地址: 91.110.209.111:443 | 地区:   
 NO.28 | 网速: 4.88 MB/s | IP地址: 91.110.174.173:8443 | 地区:   
 NO.29 | 网速: 4.79 MB/s | IP地址: 91.110.209.120:443 | 地区:   
 NO.30 | 网速: 4.69 MB/s | IP地址: 91.110.209.50:443 | 地区:   
 NO.31 | 网速: 4.32 MB/s | IP地址: 163.5.58.77:443 | 地区:   
 NO.32 | 网速: 4.21 MB/s | IP地址: 43.255.156.132:443 | 地区:   
 NO.33 | 网速: 4.18 MB/s | IP地址: 38.207.164.187:443 | 地区:   
 NO.34 | 网速: 4.16 MB/s | IP地址: 68.64.178.42:443 | 地区:   
 NO.35 | 网速: 4.14 MB/s | IP地址: 68.64.182.121:443 | 地区:   
 NO.36 | 网速: 4.12 MB/s | IP地址: 103.135.250.115:8443 | 地区:   
 NO.37 | 网速: 4.4 MB/s | IP地址: 91.110.209.47:443 | 地区:   
 NO.38 | 网速: 4.1 MB/s | IP地址: 154.3.35.10:443 | 地区:   
 NO.39 | 网速: 4.1 MB/s | IP地址: 216.23.93.131:443 | 地区:   
 NO.40 | 网速: 3.90 MB/s | IP地址: 155.254.122.146:8443 | 地区:   
 NO.41 | 网速: 3.86 MB/s | IP地址: 45.152.65.100:443 | 地区:   
 NO.42 | 网速: 3.86 MB/s | IP地址: 91.110.209.78:443 | 地区:   
 NO.43 | 网速: 3.85 MB/s | IP地址: 207.57.129.55:443 | 地区:   
 NO.44 | 网速: 3.85 MB/s | IP地址: 191.223.212.153:443 | 地区:   
 NO.45 | 网速: 3.83 MB/s | IP地址: 185.92.47.159:443 | 地区:   
 NO.46 | 网速: 3.78 MB/s | IP地址: 207.57.131.117:443 | 地区:   
 NO.47 | 网速: 3.78 MB/s | IP地址: 38.207.178.173:2087 | 地区:   
 NO.48 | 网速: 3.77 MB/s | IP地址: 43.255.156.6:8443 | 地区:   
 NO.49 | 网速: 3.75 MB/s | IP地址: 38.55.195.57:8443 | 地区:   
 NO.50 | 网速: 3.74 MB/s | IP地址: 91.110.209.110:443 | 地区:   
 NO.51 | 网速: 3.73 MB/s | IP地址: 207.57.134.29:443 | 地区:   
 NO.52 | 网速: 3.73 MB/s | IP地址: 149.104.11.45:443 | 地区:   
 NO.53 | 网速: 3.71 MB/s | IP地址: 38.207.184.97:443 | 地区:   
 NO.54 | 网速: 3.68 MB/s | IP地址: 91.213.186.142:443 | 地区:   
 NO.55 | 网速: 3.66 MB/s | IP地址: 85.121.51.14:2087 | 地区:   
 NO.56 | 网速: 3.54 MB/s | IP地址: 207.57.134.179:443 | 地区:   
 NO.57 | 网速: 3.54 MB/s | IP地址: 45.158.230.104:443 | 地区:   
 NO.58 | 网速: 3.50 MB/s | IP地址: 191.223.212.252:443 | 地区:   
 NO.59 | 网速: 3.45 MB/s | IP地址: 103.118.41.121:443 | 地区:   
 NO.60 | 网速: 3.44 MB/s | IP地址: 155.117.224.113:443 | 地区:   
 NO.61 | 网速: 3.42 MB/s | IP地址: 208.75.133.158:443 | 地区:   
 NO.62 | 网速: 3.42 MB/s | IP地址: 149.104.31.208:443 | 地区:   
 NO.63 | 网速: 3.40 MB/s | IP地址: 38.207.177.204:443 | 地区:   
 NO.64 | 网速: 3.40 MB/s | IP地址: 91.213.174.82:443 | 地区:   
 NO.65 | 网速: 3.40 MB/s | IP地址: 191.223.208.55:443 | 地区:   
 NO.66 | 网速: 3.40 MB/s | IP地址: 68.64.181.90:8443 | 地区:   
 NO.67 | 网速: 3.40 MB/s | IP地址: 149.104.29.237:443 | 地区:   
 NO.68 | 网速: 3.40 MB/s | IP地址: 103.143.81.178:443 | 地区:   
 NO.69 | 网速: 3.37 MB/s | IP地址: 85.121.51.14:2083 | 地区:   
 NO.70 | 网速: 3.35 MB/s | IP地址: 207.57.123.77:443 | 地区:   
 NO.71 | 网速: 3.35 MB/s | IP地址: 207.57.123.190:443 | 地区:   
 NO.72 | 网速: 3.34 MB/s | IP地址: 155.117.224.193:443 | 地区:   
 NO.73 | 网速: 3.34 MB/s | IP地址: 91.213.174.177:443 | 地区:   
 NO.74 | 网速: 3.34 MB/s | IP地址: 38.207.165.159:443 | 地区:   
 NO.75 | 网速: 3.33 MB/s | IP地址: 193.134.209.123:443 | 地区:   
 NO.76 | 网速: 3.32 MB/s | IP地址: 149.104.1.117:8443 | 地区:   
 NO.77 | 网速: 3.31 MB/s | IP地址: 91.110.209.62:443 | 地区:   
 NO.78 | 网速: 3.30 MB/s | IP地址: 209.33.166.199:443 | 地区:   
 NO.79 | 网速: 3.29 MB/s | IP地址: 68.64.183.37:443 | 地区:   
 NO.80 | 网速: 3.29 MB/s | IP地址: 85.121.245.35:443 | 地区:   
 NO.81 | 网速: 3.24 MB/s | IP地址: 38.207.160.40:443 | 地区:   
 NO.82 | 网速: 3.24 MB/s | IP地址: 38.207.164.100:443 | 地区:   
 NO.83 | 网速: 3.23 MB/s | IP地址: 91.110.209.94:443 | 地区:   
 NO.84 | 网速: 3.22 MB/s | IP地址: 45.144.137.68:443 | 地区:   
 NO.85 | 网速: 3.21 MB/s | IP地址: 45.131.179.101:443 | 地区:   
 NO.86 | 网速: 3.18 MB/s | IP地址: 38.55.192.202:443 | 地区:   
 NO.87 | 网速: 3.18 MB/s | IP地址: 185.216.118.161:443 | 地区:   
 NO.88 | 网速: 3.14 MB/s | IP地址: 155.254.122.236:8443 | 地区:   
 NO.89 | 网速: 3.13 MB/s | IP地址: 103.30.78.52:443 | 地区:   
 NO.90 | 网速: 3.13 MB/s | IP地址: 155.254.122.145:8443 | 地区:   
 NO.91 | 网速: 3.12 MB/s | IP地址: 91.110.209.103:443 | 地区:   
 NO.92 | 网速: 3.10 MB/s | IP地址: 45.152.67.25:443 | 地区:   
 NO.93 | 网速: 3.10 MB/s | IP地址: 91.213.189.4:2087 | 地区:   
 NO.94 | 网速: 3.8 MB/s | IP地址: 155.117.224.127:443 | 地区:   
 NO.95 | 网速: 3.7 MB/s | IP地址: 68.64.179.129:443 | 地区:   
 NO.96 | 网速: 3.6 MB/s | IP地址: 38.207.164.219:443 | 地区:   
 NO.97 | 网速: 3.3 MB/s | IP地址: 149.104.5.136:443 | 地区:   
 NO.98 | 网速: 3.0 MB/s | IP地址: 38.207.165.4:443 | 地区:   
 NO.99 | 网速: 2.98 MB/s | IP地址: 91.110.209.79:443 | 地区:   
 NO.100 | 网速: 2.97 MB/s | IP地址: 38.207.175.151:443 | 地区:   
 NO.101 | 网速: 2.96 MB/s | IP地址: 68.64.182.177:443 | 地区:   
 NO.102 | 网速: 2.93 MB/s | IP地址: 103.143.81.150:443 | 地区:   
 NO.103 | 网速: 2.90 MB/s | IP地址: 191.223.212.230:443 | 地区:   
 NO.104 | 网速: 2.90 MB/s | IP地址: 156.239.11.208:443 | 地区:   
 NO.105 | 网速: 2.85 MB/s | IP地址: 151.158.0.63:8443 | 地区:   
 NO.106 | 网速: 2.81 MB/s | IP地址: 191.223.216.88:443 | 地区:   
 NO.107 | 网速: 2.81 MB/s | IP地址: 38.207.175.22:443 | 地区:   
 NO.108 | 网速: 2.79 MB/s | IP地址: 43.255.158.60:8443 | 地区:   
 NO.109 | 网速: 2.79 MB/s | IP地址: 149.104.5.247:443 | 地区:   
 NO.110 | 网速: 2.78 MB/s | IP地址: 103.118.252.100:443 | 地区:   
 NO.111 | 网速: 2.75 MB/s | IP地址: 108.165.255.81:443 | 地区:   
 NO.112 | 网速: 2.75 MB/s | IP地址: 43.247.132.74:2096 | 地区:   
 NO.113 | 网速: 2.72 MB/s | IP地址: 108.165.147.184:443 | 地区:   
 NO.114 | 网速: 2.67 MB/s | IP地址: 43.247.132.74:2083 | 地区:   
 NO.115 | 网速: 2.67 MB/s | IP地址: 149.104.22.206:443 | 地区:   
 NO.116 | 网速: 2.64 MB/s | IP地址: 85.121.51.219:443 | 地区:   
 NO.117 | 网速: 2.61 MB/s | IP地址: 23.27.0.65:443 | 地区:   
 NO.118 | 网速: 2.59 MB/s | IP地址: 178.83.206.250:443 | 地区:   
 NO.119 | 网速: 2.57 MB/s | IP地址: 91.110.209.101:443 | 地区:   
 NO.120 | 网速: 2.56 MB/s | IP地址: 91.110.209.102:443 | 地区:   
 NO.121 | 网速: 2.55 MB/s | IP地址: 45.192.204.3:443 | 地区:   
 NO.122 | 网速: 2.55 MB/s | IP地址: 38.207.164.126:443 | 地区:   
 NO.123 | 网速: 2.51 MB/s | IP地址: 156.226.168.206:443 | 地区:   
 NO.124 | 网速: 2.51 MB/s | IP地址: 103.214.174.40:443 | 地区:   
 NO.125 | 网速: 2.49 MB/s | IP地址: 43.255.156.132:8443 | 地区:   
 NO.126 | 网速: 2.47 MB/s | IP地址: 143.20.156.163:443 | 地区:   
 NO.127 | 网速: 2.46 MB/s | IP地址: 91.110.209.95:443 | 地区:   
 NO.128 | 网速: 2.45 MB/s | IP地址: 38.207.185.35:443 | 地区:   
 NO.129 | 网速: 2.42 MB/s | IP地址: 43.247.132.74:443 | 地区:   
 NO.130 | 网速: 2.41 MB/s | IP地址: 191.223.213.78:443 | 地区:   
 NO.131 | 网速: 2.39 MB/s | IP地址: 103.97.200.42:443 | 地区:   
 NO.132 | 网速: 2.37 MB/s | IP地址: 91.213.186.189:443 | 地区:   
 NO.133 | 网速: 2.37 MB/s | IP地址: 43.247.132.74:8443 | 地区:   
 NO.134 | 网速: 2.36 MB/s | IP地址: 193.134.211.209:443 | 地区:   
 NO.135 | 网速: 2.36 MB/s | IP地址: 141.11.148.138:443 | 地区:   
 NO.136 | 网速: 2.33 MB/s | IP地址: 45.136.14.153:443 | 地区:   
 NO.137 | 网速: 2.32 MB/s | IP地址: 149.104.3.16:443 | 地区:   
 NO.138 | 网速: 2.27 MB/s | IP地址: 38.207.176.130:443 | 地区:   
 NO.139 | 网速: 2.27 MB/s | IP地址: 103.118.40.177:8443 | 地区:   
 NO.140 | 网速: 2.26 MB/s | IP地址: 206.237.12.135:443 | 地区:   
 NO.141 | 网速: 2.26 MB/s | IP地址: 108.165.155.229:443 | 地区:   
 NO.142 | 网速: 2.24 MB/s | IP地址: 145.79.143.105:443 | 地区:   
